EndOfMonth|Jnl ID|Account Code|Jnl Description|Jnl Amount
31/01/2018|7-0000000055|4210|Cost Of Sales Dog Food|10261.13
31/01/2018|7-0000000056|4210|Cost Of Sales Dog Food|10026.28
31/01/2018|7-0000000056|2210|Cost Of Sales Dog Food|-10026.28
31/01/2018|7-0000000057|4210|Cost Of Sales Dog Food|10079.65
31/01/2018|7-0000000057|2210|Cost Of Sales Dog Food|-10079.65
31/01/2018|7-0000000058|4210|Cost Of Sales Dog Food|9965.55
31/01/2018|7-0000000058|2210|Cost Of Sales Dog Food|-9965.55
31/01/2018|7-0000000059|4210|Cost Of Sales Dog Food|9594.61
31/01/2018|7-0000000059|2210|Cost Of Sales Dog Food|-9594.61
31/01/2018|7-0000000060|2210|Cost Of Sales Dog Food|-10118.05
31/01/2018|7-0000000060|4210|Cost Of Sales Dog Food|10118.05
31/01/2018|7-0000000061|4210|Cost Of Sales Dog Food|9801.36
31/01/2018|7-0000000061|2210|Cost Of Sales Dog Food|-9801.36
31/01/2018|7-0000000062|4210|Cost Of Sales Dog Food|10312.59
31/01/2018|7-0000000062|2210|Cost Of Sales Dog Food|-10312.59
31/01/2018|7-0000000063|2210|Cost Of Sales Dog Food|-9515.01
31/01/2018|7-0000000063|4210|Cost Of Sales Dog Food|9515.01
31/01/2018|7-0000000064|4210|Cost Of Sales Dog Food|9781.97
31/01/2018|7-0000000064|2210|Cost Of Sales Dog Food|-9781.97
31/01/2018|7-0000000065|2210|Cost Of Sales Dog Food|-9632.52
31/01/2018|7-0000000065|4210|Cost Of Sales Dog Food|9632.52
31/01/2018|7-0000000066|4210|Cost Of Sales Dog Food|9906.02
31/01/2018|7-0000000066|2210|Cost Of Sales Dog Food|-9906.02
31/01/2018|7-0000000067|4210|Cost Of Sales Dog Food|10416.58
31/01/2018|7-0000000067|2210|Cost Of Sales Dog Food|-10416.58
31/01/2018|8-0000000068|2220|Cost Of Sales Cat Food|-6237.26
31/01/2018|8-0000000068|4220|Cost Of Sales Cat Food|6237.26
31/01/2018|8-0000000069|2220|Cost Of Sales Cat Food|-5738.72
31/01/2018|8-0000000069|4220|Cost Of Sales Cat Food|5738.72
31/01/2018|8-0000000070|2220|Cost Of Sales Cat Food|-6190.28
31/01/2018|8-0000000070|4220|Cost Of Sales Cat Food|6190.28
31/01/2018|8-0000000071|4220|Cost Of Sales Cat Food|5842.76
31/01/2018|8-0000000071|2220|Cost Of Sales Cat Food|-5842.76
31/01/2018|8-0000000072|2220|Cost Of Sales Cat Food|-5944.55
31/01/2018|8-0000000072|4220|Cost Of Sales Cat Food|5944.55
31/01/2018|9-0000000073|1110|Cash Payments|-10254.3
31/01/2018|9-0000000073|2210|Cash Payments|10254.3
31/01/2018|9-0000000074|1110|Cash Payments|-9877.11
31/01/2018|9-0000000074|2210|Cash Payments|9877.11
31/01/2018|9-0000000075|1110|Cash Payments|-10047
31/01/2018|9-0000000075|2210|Cash Payments|10047
31/01/2018|9-0000000076|1110|Cash Payments|-9846.24
31/01/2018|9-0000000076|2210|Cash Payments|9846.24
31/01/2018|9-0000000077|1110|Cash Payments|-10207.27
31/01/2018|9-0000000077|2210|Cash Payments|10207.27
31/01/2018|9-0000000078|1110|Cash Payments|-10422.31
31/01/2018|9-0000000078|2210|Cash Payments|10422.31
31/01/2018|9-0000000079|2210|Cash Payments|9999.79
31/01/2018|9-0000000079|1110|Cash Payments|-9999.79
31/01/2018|9-0000000080|1110|Cash Payments|-10414.43
31/01/2018|9-0000000080|2210|Cash Payments|10414.43
31/01/2018|9-0000000081|1110|Cash Payments|-10371.41
31/01/2018|9-0000000081|2210|Cash Payments|10371.41
31/01/2018|9-0000000082|2210|Cash Payments|9647.71
31/01/2018|9-0000000082|1110|Cash Payments|-9647.71
31/01/2018|9-0000000083|2210|Cash Payments|10106.3
31/01/2018|9-0000000083|1110|Cash Payments|-10106.3
31/01/2018|9-0000000084|1110|Cash Payments|-10256.44
31/01/2018|9-0000000084|2210|Cash Payments|10256.44
31/01/2018|9-0000000085|2210|Cash Payments|10209.41
31/01/2018|9-0000000085|1110|Cash Payments|-10209.41
31/01/2018|9-0000000086|2210|Cash Payments|9953.55
31/01/2018|9-0000000086|1110|Cash Payments|-9953.55
31/01/2018|9-0000000087|2210|Cash Payments|10343.81
31/01/2018|9-0000000087|1110|Cash Payments|-10343.81
31/01/2018|9-0000000088|2210|Cash Payments|9641.66
31/01/2018|9-0000000088|1110|Cash Payments|-9641.66
31/01/2018|9-0000000089|2210|Cash Payments|9517.76
31/01/2018|9-0000000089|1110|Cash Payments|-9517.76
31/01/2018|9-0000000090|1110|Cash Payments|-10170.26
31/01/2018|9-0000000090|2210|Cash Payments|10170.26
31/01/2018|9-0000000091|2210|Cash Payments|10229.98
31/01/2018|9-0000000091|1110|Cash Payments|-10229.98
31/01/2018|9-0000000092|2210|Cash Payments|10188.7
31/01/2018|9-0000000092|1110|Cash Payments|-10188.7
28/02/2018|1-0000000098|4110|Labrador Sales|-48197.01
28/02/2018|1-0000000098|1210|Labrador Sales|48197.01
28/02/2018|1-0000000099|4110|Labrador Sales|-50727.56
28/02/2018|1-0000000099|1210|Labrador Sales|50727.56
28/02/2018|1-0000000100|4110|Labrador Sales|-52816.86
28/02/2018|1-0000000100|1210|Labrador Sales|52816.86
28/02/2018|1-0000000101|4110|Labrador Sales|-48032.43
28/02/2018|1-0000000101|1210|Labrador Sales|48032.43
28/02/2018|1-0000000102|4110|Labrador Sales|-48833.48
28/02/2018|1-0000000102|1210|Labrador Sales|48833.48
28/02/2018|1-0000000103|4110|Labrador Sales|-52672.96
28/02/2018|1-0000000103|1210|Labrador Sales|52672.96
28/02/2018|1-0000000104|4110|Labrador Sales|-52979.84
28/02/2018|1-0000000104|1210|Labrador Sales|52979.84
28/02/2018|1-0000000105|4110|Labrador Sales|-51651
28/02/2018|1-0000000105|1210|Labrador Sales|51651
28/02/2018|1-0000000106|4110|Labrador Sales|-52672.84
28/02/2018|1-0000000106|1210|Labrador Sales|52672.84
28/02/2018|1-0000000107|4110|Labrador Sales|-49950.59
28/02/2018|1-0000000107|1210|Labrador Sales|49950.59
28/02/2018|1-0000000108|4110|Labrador Sales|-50120.26
28/02/2018|1-0000000108|1210|Labrador Sales|50120.26
28/02/2018|1-0000000109|4110|Labrador Sales|-52556.07
28/02/2018|1-0000000109|1210|Labrador Sales|52556.07
28/02/2018|1-0000000110|4110|Labrador Sales|-52289.71
28/02/2018|1-0000000110|1210|Labrador Sales|52289.71
28/02/2018|1-0000000111|4110|Labrador Sales|-50975.61
28/02/2018|1-0000000111|1210|Labrador Sales|50975.61
28/02/2018|1-0000000112|4110|Labrador Sales|-51173.83
28/02/2018|1-0000000112|1210|Labrador Sales|51173.83
28/02/2018|1-0000000113|4110|Labrador Sales|-52728.06
28/02/2018|1-0000000113|1210|Labrador Sales|52728.06
28/02/2018|1-0000000114|4110|Labrador Sales|-49771.9
28/02/2018|1-0000000114|1210|Labrador Sales|49771.9
28/02/2018|1-0000000115|4110|Labrador Sales|-52149.17
28/02/2018|1-0000000115|1210|Labrador Sales|52149.17
28/02/2018|1-0000000116|4110|Labrador Sales|-52692.51
28/02/2018|1-0000000116|1210|Labrador Sales|52692.51
28/02/2018|1-0000000117|4110|Labrador Sales|-49994.18
28/02/2018|1-0000000117|1210|Labrador Sales|49994.18
28/02/2018|10-0000000191|2220|Cash Payments|5946.6
28/02/2018|10-0000000191|1120|Cash Payments|-5946.6
28/02/2018|10-0000000192|2220|Cash Payments|5786.07
28/02/2018|10-0000000192|1120|Cash Payments|-5786.07
28/02/2018|10-0000000193|2220|Cash Payments|5763.95
28/02/2018|10-0000000193|1120|Cash Payments|-5763.95
28/02/2018|10-0000000194|2220|Cash Payments|6205.28
28/02/2018|10-0000000194|1120|Cash Payments|-6205.28
28/02/2018|10-0000000195|1120|Cash Payments|-6284.02
28/02/2018|10-0000000195|2220|Cash Payments|6284.02
28/02/2018|2-0000000118|1230|Cat food sales|43678.88
28/02/2018|2-0000000118|4120|Cat food sales|-43678.88
28/02/2018|2-0000000119|1230|Cat food sales|43678.88
28/02/2018|2-0000000119|4120|Cat food sales|-43678.88
28/02/2018|2-0000000120|4120|Cat food sales|-43678.88
28/02/2018|2-0000000120|1230|Cat food sales|43678.88
28/02/2018|3-0000000121|4130|Interest Received|-153240.56
28/02/2018|3-0000000121|1110|Interest Received|153240.56
28/02/2018|4-0000000122|1210|Cash Receipts|-50704.38
28/02/2018|4-0000000122|1110|Cash Receipts|50704.38
28/02/2018|4-0000000123|1210|Cash Receipts|-52685.67
28/02/2018|4-0000000123|1110|Cash Receipts|52685.67
28/02/2018|4-0000000124|1210|Cash Receipts|-50319.46
28/02/2018|4-0000000124|1110|Cash Receipts|50319.46
28/02/2018|4-0000000125|1210|Cash Receipts|-48596.04
28/02/2018|4-0000000125|1110|Cash Receipts|48596.04
28/02/2018|4-0000000126|1110|Cash Receipts|49996.49
28/02/2018|4-0000000126|1210|Cash Receipts|-49996.49
28/02/2018|4-0000000127|1210|Cash Receipts|-50887.66
28/02/2018|4-0000000127|1110|Cash Receipts|50887.66
28/02/2018|4-0000000128|1210|Cash Receipts|-51488.84
28/02/2018|4-0000000128|1110|Cash Receipts|51488.84
28/02/2018|4-0000000129|1210|Cash Receipts|-50337.33
28/02/2018|4-0000000129|1110|Cash Receipts|50337.33
28/02/2018|4-0000000130|1110|Cash Receipts|49426.82
28/02/2018|4-0000000130|1210|Cash Receipts|-49426.82
28/02/2018|4-0000000131|1110|Cash Receipts|48201.41
28/02/2018|4-0000000131|1210|Cash Receipts|-48201.41
28/02/2018|4-0000000132|1110|Cash Receipts|49570.42
28/02/2018|4-0000000132|1210|Cash Receipts|-49570.42
28/02/2018|4-0000000133|1210|Cash Receipts|-50714.58
28/02/2018|4-0000000133|1110|Cash Receipts|50714.58
28/02/2018|4-0000000134|1110|Cash Receipts|48532.08
28/02/2018|4-0000000134|1210|Cash Receipts|-48532.08
28/02/2018|4-0000000135|1210|Cash Receipts|-49843.43
28/02/2018|4-0000000135|1110|Cash Receipts|49843.43
28/02/2018|4-0000000136|1110|Cash Receipts|50394.8
28/02/2018|4-0000000136|1210|Cash Receipts|-50394.8
28/02/2018|4-0000000137|1210|Cash Receipts|-48147.62
28/02/2018|4-0000000137|1110|Cash Receipts|48147.62
28/02/2018|4-0000000138|1210|Cash Receipts|-48159.09
28/02/2018|4-0000000138|1110|Cash Receipts|48159.09
28/02/2018|4-0000000139|1210|Cash Receipts|-51194.33
28/02/2018|4-0000000139|1110|Cash Receipts|51194.33
28/02/2018|4-0000000140|1210|Cash Receipts|-51035.78
28/02/2018|4-0000000140|1110|Cash Receipts|51035.78
28/02/2018|4-0000000141|1210|Cash Receipts|-49696.88
28/02/2018|4-0000000141|1110|Cash Receipts|49696.88
28/02/2018|5-0000000142|1120|Cash Receipts|43678.88
28/02/2018|5-0000000142|1230|Cash Receipts|-43678.88
28/02/2018|5-0000000143|1230|Cash Receipts|-43678.88
28/02/2018|5-0000000143|1120|Cash Receipts|43678.88
28/02/2018|5-0000000144|1120|Cash Receipts|43678.88
28/02/2018|5-0000000144|1230|Cash Receipts|-43678.88
28/02/2018|6-0000000145|4310|Salaries|400986.51
28/02/2018|6-0000000145|1130|Salaries|-400986.51
28/02/2018|7-0000000146|2210|Cost Of Sales Dog Food|-10487.1
28/02/2018|7-0000000146|4210|Cost Of Sales Dog Food|10487.1
28/02/2018|7-0000000147|4210|Cost Of Sales Dog Food|10484.38
28/02/2018|7-0000000147|2210|Cost Of Sales Dog Food|-10484.38
28/02/2018|7-0000000148|4210|Cost Of Sales Dog Food|10475.07
28/02/2018|7-0000000148|2210|Cost Of Sales Dog Food|-10475.07
28/02/2018|7-0000000149|4210|Cost Of Sales Dog Food|9824.04
28/02/2018|7-0000000149|2210|Cost Of Sales Dog Food|-9824.04
28/02/2018|7-0000000150|2210|Cost Of Sales Dog Food|-9660.03
28/02/2018|7-0000000150|4210|Cost Of Sales Dog Food|9660.03
28/02/2018|7-0000000151|4210|Cost Of Sales Dog Food|9954.46
28/02/2018|7-0000000151|2210|Cost Of Sales Dog Food|-9954.46
28/02/2018|7-0000000152|4210|Cost Of Sales Dog Food|10188.15
28/02/2018|7-0000000152|2210|Cost Of Sales Dog Food|-10188.15
28/02/2018|7-0000000153|4210|Cost Of Sales Dog Food|9668.85
28/02/2018|7-0000000153|2210|Cost Of Sales Dog Food|-9668.85
28/02/2018|7-0000000154|2210|Cost Of Sales Dog Food|-10360.59
28/02/2018|7-0000000154|4210|Cost Of Sales Dog Food|10360.59
28/02/2018|7-0000000155|4210|Cost Of Sales Dog Food|10067.66
28/02/2018|7-0000000155|2210|Cost Of Sales Dog Food|-10067.66
28/02/2018|7-0000000156|4210|Cost Of Sales Dog Food|10186.67
28/02/2018|7-0000000156|2210|Cost Of Sales Dog Food|-10186.67
28/02/2018|7-0000000157|2210|Cost Of Sales Dog Food|-9967.67
28/02/2018|7-0000000157|4210|Cost Of Sales Dog Food|9967.67
28/02/2018|7-0000000158|2210|Cost Of Sales Dog Food|-10159.58
28/02/2018|7-0000000158|4210|Cost Of Sales Dog Food|10159.58
28/02/2018|7-0000000159|2210|Cost Of Sales Dog Food|-9871.86
28/02/2018|7-0000000159|4210|Cost Of Sales Dog Food|9871.86
28/02/2018|7-0000000160|2210|Cost Of Sales Dog Food|-9999.13
28/02/2018|7-0000000160|4210|Cost Of Sales Dog Food|9999.13
28/02/2018|7-0000000161|4210|Cost Of Sales Dog Food|10535.53
28/02/2018|7-0000000161|2210|Cost Of Sales Dog Food|-10535.53
28/02/2018|7-0000000162|2210|Cost Of Sales Dog Food|-9921.07
28/02/2018|7-0000000162|4210|Cost Of Sales Dog Food|9921.07
28/02/2018|7-0000000163|2210|Cost Of Sales Dog Food|-10238.47
28/02/2018|7-0000000163|4210|Cost Of Sales Dog Food|10238.47
28/02/2018|7-0000000164|4210|Cost Of Sales Dog Food|9850.67
28/02/2018|7-0000000164|2210|Cost Of Sales Dog Food|-9850.67
28/02/2018|7-0000000165|4210|Cost Of Sales Dog Food|9645.53
28/02/2018|7-0000000165|2210|Cost Of Sales Dog Food|-9645.53
28/02/2018|8-0000000166|4220|Cost Of Sales Cat Food|6140.86
28/02/2018|8-0000000166|2220|Cost Of Sales Cat Food|-6140.86
28/02/2018|8-0000000167|2220|Cost Of Sales Cat Food|-6243.07
28/02/2018|8-0000000167|4220|Cost Of Sales Cat Food|6243.07
28/02/2018|8-0000000168|4220|Cost Of Sales Cat Food|5722.31
28/02/2018|8-0000000168|2220|Cost Of Sales Cat Food|-5722.31
28/02/2018|8-0000000169|4220|Cost Of Sales Cat Food|6048.55
28/02/2018|8-0000000169|2220|Cost Of Sales Cat Food|-6048.55
28/02/2018|8-0000000170|2220|Cost Of Sales Cat Food|-5877.26
28/02/2018|8-0000000170|4220|Cost Of Sales Cat Food|5877.26
28/02/2018|9-0000000171|2210|Cash Payments|10533.27
28/02/2018|9-0000000171|1110|Cash Payments|-10533.27
28/02/2018|9-0000000172|1110|Cash Payments|-10519.66
28/02/2018|9-0000000172|2210|Cash Payments|10519.66
28/02/2018|9-0000000173|2210|Cash Payments|9639.08
28/02/2018|9-0000000173|1110|Cash Payments|-9639.08
28/02/2018|9-0000000174|2210|Cash Payments|10139.56
28/02/2018|9-0000000174|1110|Cash Payments|-10139.56
28/02/2018|9-0000000175|1110|Cash Payments|-9633.2
28/02/2018|9-0000000175|2210|Cash Payments|9633.2
28/02/2018|9-0000000176|1110|Cash Payments|-10331.04
28/02/2018|9-0000000176|2210|Cash Payments|10331.04
28/02/2018|9-0000000177|1110|Cash Payments|-10394.53
28/02/2018|9-0000000177|2210|Cash Payments|10394.53
28/02/2018|9-0000000178|2210|Cash Payments|10309.64
28/02/2018|9-0000000178|1110|Cash Payments|-10309.64
28/02/2018|9-0000000179|1110|Cash Payments|-10544.14
28/02/2018|9-0000000179|2210|Cash Payments|10544.14
28/02/2018|9-0000000180|1110|Cash Payments|-10437.07
28/02/2018|9-0000000180|2210|Cash Payments|10437.07
28/02/2018|9-0000000181|1110|Cash Payments|-10159.6
28/02/2018|9-0000000181|2210|Cash Payments|10159.6
28/02/2018|9-0000000182|1110|Cash Payments|-9917.02
28/02/2018|9-0000000182|2210|Cash Payments|9917.02
28/02/2018|9-0000000183|1110|Cash Payments|-10077.11
28/02/2018|9-0000000183|2210|Cash Payments|10077.11
28/02/2018|9-0000000184|1110|Cash Payments|-9735.63
28/02/2018|9-0000000184|2210|Cash Payments|9735.63
28/02/2018|9-0000000185|1110|Cash Payments|-10208.58
28/02/2018|9-0000000185|2210|Cash Payments|10208.58
28/02/2018|9-0000000186|2210|Cash Payments|10336.84
28/02/2018|9-0000000186|1110|Cash Payments|-10336.84
28/02/2018|9-0000000187|1110|Cash Payments|-10268.6
28/02/2018|9-0000000187|2210|Cash Payments|10268.6
28/02/2018|9-0000000188|1110|Cash Payments|-10156.04
28/02/2018|9-0000000188|2210|Cash Payments|10156.04
28/02/2018|9-0000000189|2210|Cash Payments|10202.15
28/02/2018|9-0000000189|1110|Cash Payments|-10202.15
28/02/2018|9-0000000190|1110|Cash Payments|-9792.09
28/02/2018|9-0000000190|2210|Cash Payments|9792.09
31/03/2018|1-0000000196|4110|Labrador Sales|-50462.55
31/03/2018|1-0000000196|1210|Labrador Sales|50462.55
31/03/2018|1-0000000197|4110|Labrador Sales|-51237.77
31/03/2018|1-0000000197|1210|Labrador Sales|51237.77
31/03/2018|1-0000000198|4110|Labrador Sales|-48592.37
31/03/2018|1-0000000198|1210|Labrador Sales|48592.37
31/03/2018|1-0000000199|4110|Labrador Sales|-49614.61
31/03/2018|1-0000000199|1210|Labrador Sales|49614.61
31/03/2018|1-0000000200|4110|Labrador Sales|-51816.32
31/03/2018|1-0000000200|1210|Labrador Sales|51816.32
31/03/2018|1-0000000201|4110|Labrador Sales|-53322.56
31/03/2018|1-0000000201|1210|Labrador Sales|53322.56
31/03/2018|1-0000000202|4110|Labrador Sales|-49941.65
31/03/2018|1-0000000202|1210|Labrador Sales|49941.65
31/03/2018|1-0000000203|4110|Labrador Sales|-50514.38
31/03/2018|1-0000000203|1210|Labrador Sales|50514.38
31/03/2018|1-0000000204|4110|Labrador Sales|-48577.75
31/03/2018|1-0000000204|1210|Labrador Sales|48577.75
31/03/2018|1-0000000205|4110|Labrador Sales|-52296.61
31/03/2018|1-0000000205|1210|Labrador Sales|52296.61
31/03/2018|1-0000000206|4110|Labrador Sales|-50493.12
31/03/2018|1-0000000206|1210|Labrador Sales|50493.12
31/03/2018|1-0000000207|4110|Labrador Sales|-48801.33
31/03/2018|1-0000000207|1210|Labrador Sales|48801.33
31/03/2018|1-0000000208|4110|Labrador Sales|-51403.86
31/03/2018|1-0000000208|1210|Labrador Sales|51403.86
31/03/2018|1-0000000209|4110|Labrador Sales|-50217.14
31/03/2018|1-0000000209|1210|Labrador Sales|50217.14
31/03/2018|1-0000000210|4110|Labrador Sales|-50235.51
31/03/2018|1-0000000210|1210|Labrador Sales|50235.51
31/03/2018|1-0000000211|4110|Labrador Sales|-48938.43
31/03/2018|1-0000000211|1210|Labrador Sales|48938.43
31/03/2018|1-0000000212|4110|Labrador Sales|-51946.41
31/03/2018|1-0000000212|1210|Labrador Sales|51946.41
31/03/2018|1-0000000213|4110|Labrador Sales|-51494.11
31/03/2018|1-0000000213|1210|Labrador Sales|51494.11
31/03/2018|1-0000000214|4110|Labrador Sales|-51891.92
31/03/2018|1-0000000214|1210|Labrador Sales|51891.92
31/03/2018|1-0000000215|4110|Labrador Sales|-48842.8
31/03/2018|1-0000000215|1210|Labrador Sales|48842.8
31/03/2018|10-0000000289|2220|Cash Payments|6060.88
31/03/2018|10-0000000289|1120|Cash Payments|-6060.88
31/03/2018|10-0000000290|2220|Cash Payments|6143.55
31/03/2018|10-0000000290|1120|Cash Payments|-6143.55
31/03/2018|10-0000000291|1120|Cash Payments|-6195.86
31/03/2018|10-0000000291|2220|Cash Payments|6195.86
31/03/2018|10-0000000292|1120|Cash Payments|-5921.55
31/03/2018|10-0000000292|2220|Cash Payments|5921.55
31/03/2018|10-0000000293|2220|Cash Payments|6132.57
31/03/2018|10-0000000293|1120|Cash Payments|-6132.57
