EndOfMonth|Account Code|Amount
30/04/2018|1130|24546145
30/04/2018|1210|25558060.61
30/04/2018|1220|7446703
30/04/2018|1230|65297453.61
30/04/2018|1310|54363775
30/04/2018|1320|3124301
30/04/2018|1330|2356633
30/04/2018|1410|500000392
30/04/2018|1420|124521667
30/04/2018|1430|14526528
30/04/2018|1440|23523592
30/04/2018|1510|70000605
30/04/2018|2110|-1244476
30/04/2018|2120|-1451943
30/04/2018|2210|-14123860
30/04/2018|2220|-851763
30/04/2018|2310|-149999314
30/04/2018|2320|-49999672
30/04/2018|3110|-399999661
30/04/2018|3120|-491253746
30/04/2018|4110|-5946196.61
30/04/2018|4120|-551938.61
31/05/2018|1110|124542319
31/05/2018|1120|75614396
31/05/2018|1130|24546145
31/05/2018|1210|26437887.7
31/05/2018|1220|7905770.8
31/05/2018|1230|65443436.56
31/05/2018|1310|54363775
31/05/2018|1320|3124301
31/05/2018|1330|2356633
31/05/2018|1410|500000392
31/05/2018|1420|124521667
31/05/2018|1430|14526528
31/05/2018|1440|23523592
31/05/2018|1510|70000605
31/05/2018|2110|-1244476
31/05/2018|2120|-1451943
31/05/2018|2210|-14123860
31/05/2018|2220|-851763
31/05/2018|2310|-149999314
31/05/2018|2320|-49999672
31/05/2018|3110|-399999661
31/05/2018|3120|-491253746
31/05/2018|4110|-7285091.5
31/05/2018|4120|-697921.56
30/06/2018|1110|124542319
30/06/2018|1120|75614396
30/06/2018|1130|24546145
30/06/2018|1210|27557365.86
30/06/2018|1220|8367133.9
30/06/2018|1230|65609822.1
30/06/2018|1310|54363775
30/06/2018|1320|3124301
30/06/2018|1330|2356633
30/06/2018|1410|500000392
30/06/2018|1420|124521667
30/06/2018|1430|14526528
30/06/2018|1440|23523592
30/06/2018|1510|70000605
30/06/2018|2110|-1244476
30/06/2018|2120|-1451943
30/06/2018|2210|-14123860
30/06/2018|2220|-851763
30/06/2018|2310|-149999314
30/06/2018|2320|-49999672
30/06/2018|3110|-399999661
30/06/2018|3120|-491253746
30/06/2018|4110|-8865932.76
30/06/2018|4120|-864307.1
31/07/2018|1110|124542319
31/07/2018|1120|75614396
31/07/2018|1130|24546145
31/07/2018|1210|28688712.24
31/07/2018|1220|8830803.85
31/07/2018|1230|65783617.51
31/07/2018|1310|54363775
31/07/2018|1320|3124301
31/07/2018|1330|2356633
31/07/2018|1410|500000392
31/07/2018|1420|124521667
31/07/2018|1430|14526528
31/07/2018|1440|23523592
31/07/2018|1510|70000605
31/07/2018|2110|-1244476
31/07/2018|2120|-1451943
31/07/2018|2210|-14123860
31/07/2018|2220|-851763
31/07/2018|2310|-149999314
31/07/2018|2320|-49999672
31/07/2018|3110|-399999661
31/07/2018|3120|-491253746
31/07/2018|4110|-10460949.09
31/07/2018|4120|-1038102.51
31/08/2018|1110|124542319
31/08/2018|1120|75614396
31/08/2018|1130|24546145
31/08/2018|1210|29827900.39
31/08/2018|1220|9296792.05
31/08/2018|1230|65965837.76
31/08/2018|1310|54363775
31/08/2018|1320|3124301
31/08/2018|1330|2356633
31/08/2018|1410|500000392
31/08/2018|1420|124521667
31/08/2018|1430|14526528
31/08/2018|1440|23523592
31/08/2018|1510|70000605
31/08/2018|2110|-1244476
31/08/2018|2120|-1451943
31/08/2018|2210|-14123860
31/08/2018|2220|-851763
31/08/2018|2310|-149999314
31/08/2018|2320|-49999672
31/08/2018|3110|-399999661
31/08/2018|3120|-491253746
31/08/2018|4110|-12066125.44
31/08/2018|4120|-1220322.76
30/09/2018|1110|124542319
30/09/2018|1120|75614396
30/09/2018|1130|24546145
30/09/2018|1210|30995874.61
30/09/2018|1220|9765110.2
30/09/2018|1230|66160096.26
30/09/2018|1310|54363775
30/09/2018|1320|3124301
30/09/2018|1330|2356633
30/09/2018|1410|500000392
30/09/2018|1420|124521667
30/09/2018|1430|14526528
30/09/2018|1440|23523592
30/09/2018|1510|70000605
30/09/2018|2110|-1244476
30/09/2018|2120|-1451943
30/09/2018|2210|-14123860
30/09/2018|2220|-851763
30/09/2018|2310|-149999314
30/09/2018|2320|-49999672
30/09/2018|3110|-399999661
30/09/2018|3120|-491253746
30/09/2018|4110|-13702417.81
30/09/2018|4120|-1414581.26
31/10/2018|1110|124542319
31/10/2018|1120|75614396
31/10/2018|1130|24546145
31/10/2018|1210|32187415.39
31/10/2018|1220|10235770
31/10/2018|1230|66359708.39
31/10/2018|1310|54363775
31/10/2018|1320|3124301
31/10/2018|1330|2356633
31/10/2018|1410|500000392
31/10/2018|1420|124521667
31/10/2018|1430|14526528
31/10/2018|1440|23523592
31/10/2018|1510|70000605
31/10/2018|2110|-1244476
31/10/2018|2120|-1451943
31/10/2018|2210|-14123860
31/10/2018|2220|-851763
31/10/2018|2310|-149999314
31/10/2018|2320|-49999672
31/10/2018|3110|-399999661
31/10/2018|3120|-491253746
31/10/2018|4110|-15364618.39
31/10/2018|4120|-1614193.39
30/11/2018|1110|124542319
30/11/2018|1120|75614396
30/11/2018|1130|24546145
30/11/2018|1210|33406016.06
30/11/2018|1220|10708783
30/11/2018|1230|66578115.75
30/11/2018|1310|54363775
30/11/2018|1320|3124301
30/11/2018|1330|2356633
30/11/2018|1410|500000392
30/11/2018|1420|124521667
30/11/2018|1430|14526528
30/11/2018|1440|23523592
30/11/2018|1510|70000605
30/11/2018|2110|-1244476
30/11/2018|2120|-1451943
30/11/2018|2210|-14123860
30/11/2018|2220|-851763
30/11/2018|2310|-149999314
30/11/2018|2320|-49999672
30/11/2018|3110|-399999661
30/11/2018|3120|-491253746
30/11/2018|4110|-17056232.06
30/11/2018|4120|-1832600.75
31/12/2018|1110|124542319
31/12/2018|1120|75614396
31/12/2018|1130|24546145
31/12/2018|1210|34651159.26
31/12/2018|1220|11184161.05
31/12/2018|1230|66807645.01
31/12/2018|1310|54363775
31/12/2018|1320|3124301
31/12/2018|1330|2356633
31/12/2018|1410|500000392
31/12/2018|1420|124521667
31/12/2018|1430|14526528
31/12/2018|1440|23523592
31/12/2018|1510|70000605
31/12/2018|2110|-1244476
31/12/2018|2120|-1451943
31/12/2018|2210|-14123860
31/12/2018|2220|-851763
31/12/2018|2310|-149999314
31/12/2018|2320|-49999672
31/12/2018|3110|-399999661
31/12/2018|3120|-491253746
31/12/2018|4110|-18776753.31
31/12/2018|4120|-2062130.01
31/01/2019|1110|124542319
31/01/2019|1120|75614396
31/01/2019|1130|24546145
31/01/2019|1210|35912934.37
31/01/2019|1220|11661916
31/01/2019|1230|67024495.81
31/01/2019|1310|54363775
31/01/2019|1320|3124301
31/01/2019|1330|2356633
31/01/2019|1410|500000392
31/01/2019|1420|124521667
31/01/2019|1430|14526528
31/01/2019|1440|23523592
31/01/2019|1510|70000605
31/01/2019|2110|-1244476
31/01/2019|2120|-1451943
31/01/2019|2210|-14123860
31/01/2019|2220|-851763
31/01/2019|2310|-149999314
31/01/2019|2320|-49999672
31/01/2019|3110|-399999661
31/01/2019|3120|-512092629.32
31/01/2019|4110|-1739530.06
31/01/2019|4120|-216850.8
28/02/2019|1110|124542319
28/02/2019|1120|75614396
28/02/2019|1130|24546145
28/02/2019|1210|37200109.67
28/02/2019|1220|12142059.85
28/02/2019|1230|67267220.3
28/02/2019|1310|54363775
28/02/2019|1320|3124301
28/02/2019|1330|2356633
28/02/2019|1410|500000392
28/02/2019|1420|124521667
28/02/2019|1430|14526528
28/02/2019|1440|23523592
28/02/2019|1510|70000605
28/02/2019|2110|-1244476
28/02/2019|2120|-1451943
28/02/2019|2210|-14123860
28/02/2019|2220|-851763
28/02/2019|2310|-149999314
28/02/2019|2320|-49999672
28/02/2019|3110|-399999661
28/02/2019|3120|-512092629.32
28/02/2019|4110|-3506849.21
28/02/2019|4120|-459575.29
31/03/2019|1110|124542319
31/03/2019|1120|75614396
31/03/2019|1130|24546145
31/03/2019|1210|38511048.42
31/03/2019|1220|12624604.3
31/03/2019|1230|67506526.91
31/03/2019|1310|54363775
31/03/2019|1320|3124301
31/03/2019|1330|2356633
31/03/2019|1410|500000392
31/03/2019|1420|124521667
31/03/2019|1430|14526528
31/03/2019|1440|23523592
31/03/2019|1510|70000605
31/03/2019|2110|-1244476
31/03/2019|2120|-1451943
31/03/2019|2210|-14123860
31/03/2019|2220|-851763
31/03/2019|2310|-149999314
31/03/2019|2320|-49999672
31/03/2019|3110|-399999661
31/03/2019|3120|-512092629.32
31/03/2019|4110|-5300332.41
31/03/2019|4120|-698881.9
30/04/2019|1110|124542319
30/04/2019|1120|75614396
30/04/2019|1130|24546145
30/04/2019|1210|39848698.78
30/04/2019|1220|13109561.5
30/04/2019|1230|67776130.97
30/04/2019|1310|54363775
30/04/2019|1320|3124301
30/04/2019|1330|2356633
30/04/2019|1410|500000392
30/04/2019|1420|124521667
30/04/2019|1430|14526528
30/04/2019|1440|23523592
30/04/2019|1510|70000605
30/04/2019|2110|-1244476
30/04/2019|2120|-1451943
30/04/2019|2210|-14123860
30/04/2019|2220|-851763
30/04/2019|2310|-149999314
30/04/2019|2320|-49999672
30/04/2019|3110|-399999661
30/04/2019|3120|-512092629.32
30/04/2019|4110|-7122939.97
30/04/2019|4120|-968485.96
31/05/2019|1110|124542319
31/05/2019|1120|75614396
31/05/2019|1130|24546145
31/05/2019|1210|41230814.2
31/05/2019|1220|13596943.45
31/05/2019|1230|68070496.57
31/05/2019|1310|54363775
31/05/2019|1320|3124301
31/05/2019|1330|2356633
31/05/2019|1410|500000392
31/05/2019|1420|124521667
31/05/2019|1430|14526528
31/05/2019|1440|23523592
31/05/2019|1510|70000605
31/05/2019|2110|-1244476
31/05/2019|2120|-1451943
31/05/2019|2210|-14123860
31/05/2019|2220|-851763
31/05/2019|2310|-149999314
31/05/2019|2320|-49999672
31/05/2019|3110|-399999661
31/05/2019|3120|-512092629.32
31/05/2019|4110|-8992437.34
31/05/2019|4120|-1262851.56
30/06/2019|1110|124542319
30/06/2019|1120|75614396
30/06/2019|1130|24546145
30/06/2019|1210|42635327.79
30/06/2019|1220|14086762.45
30/06/2019|1230|68369277.72
30/06/2019|1310|54363775
30/06/2019|1320|3124301
30/06/2019|1330|2356633
30/06/2019|1410|500000392
30/06/2019|1420|124521667
30/06/2019|1430|14526528
30/06/2019|1440|23523592
30/06/2019|1510|70000605
30/06/2019|2110|-1244476
30/06/2019|2120|-1451943
30/06/2019|2210|-14123860
30/06/2019|2220|-851763
30/06/2019|2310|-149999314
30/06/2019|2320|-49999672
30/06/2019|3110|-399999661
30/06/2019|3120|-512092629.32
30/06/2019|4110|-10886769.93
30/06/2019|4120|-1561632.71
31/07/2019|1110|124542319
31/07/2019|1120|75614396
31/07/2019|1130|24546145
31/07/2019|1210|44062667.67
31/07/2019|1220|14579030.5
31/07/2019|1230|68686200.19
31/07/2019|1310|54363775
31/07/2019|1320|3124301
31/07/2019|1330|2356633
31/07/2019|1410|500000392
31/07/2019|1420|124521667
31/07/2019|1430|14526528
31/07/2019|1440|23523592
31/07/2019|1510|70000605
31/07/2019|2110|-1244476
31/07/2019|2120|-1451943
31/07/2019|2210|-14123860
31/07/2019|2220|-851763
31/07/2019|2310|-149999314
31/07/2019|2320|-49999672
31/07/2019|3110|-399999661
31/07/2019|3120|-512092629.32
31/07/2019|4110|-12806377.86
31/07/2019|4120|-1878555.18
31/08/2019|1110|124542319
31/08/2019|1120|75614396
31/08/2019|1130|24546145
31/08/2019|1210|45519412.05
31/08/2019|1220|15073759.9
31/08/2019|1230|69028513.49
31/08/2019|1310|54363775
31/08/2019|1320|3124301
31/08/2019|1330|2356633
31/08/2019|1410|500000392
31/08/2019|1420|124521667
31/08/2019|1430|14526528
31/08/2019|1440|23523592
31/08/2019|1510|70000605
31/08/2019|2110|-1244476
31/08/2019|2120|-1451943
31/08/2019|2210|-14123860
31/08/2019|2220|-851763
31/08/2019|2310|-149999314
31/08/2019|2320|-49999672
31/08/2019|3110|-399999661
31/08/2019|3120|-512092629.32
31/08/2019|4110|-14757851.64
31/08/2019|4120|-2220868.48
30/09/2019|1110|124542319
30/09/2019|1120|75614396
30/09/2019|1130|24546145
30/09/2019|1210|47009184.44
30/09/2019|1220|15570962.95
30/09/2019|1230|69387096.32
30/09/2019|1310|54363775
30/09/2019|1320|3124301
30/09/2019|1330|2356633
30/09/2019|1410|500000392
30/09/2019|1420|124521667
30/09/2019|1430|14526528
30/09/2019|1440|23523592
30/09/2019|1510|70000605
30/09/2019|2110|-1244476
30/09/2019|2120|-1451943
30/09/2019|2210|-14123860
30/09/2019|2220|-851763
30/09/2019|2310|-149999314
30/09/2019|2320|-49999672
30/09/2019|3110|-399999661
30/09/2019|3120|-512092629.32
30/09/2019|4110|-16744827.08
30/09/2019|4120|-2579451.31
31/10/2019|1110|124542319
31/10/2019|1120|75614396
31/10/2019|1130|24546145
31/10/2019|1210|48522211.33
31/10/2019|1220|16070651.95
31/10/2019|1230|69737105.95
31/10/2019|1310|54363775
31/10/2019|1320|3124301
31/10/2019|1330|2356633
31/10/2019|1410|500000392
31/10/2019|1420|124521667
31/10/2019|1430|14526528
31/10/2019|1440|23523592
31/10/2019|1510|70000605
31/10/2019|2110|-1244476
31/10/2019|2120|-1451943
31/10/2019|2210|-14123860
31/10/2019|2220|-851763
31/10/2019|2310|-149999314
31/10/2019|2320|-49999672
31/10/2019|3110|-399999661
31/10/2019|3120|-512092629.32
31/10/2019|4110|-18757542.97
31/10/2019|4120|-2929460.94
30/11/2019|1110|124542319
30/11/2019|1120|75614396
30/11/2019|1130|24546145
30/11/2019|1210|50059759.77
30/11/2019|1220|16572839.35
30/11/2019|1230|70129776.06
30/11/2019|1310|54363775
30/11/2019|1320|3124301
30/11/2019|1330|2356633
30/11/2019|1410|500000392
30/11/2019|1420|124521667
30/11/2019|1430|14526528
30/11/2019|1440|23523592
30/11/2019|1510|70000605
30/11/2019|2110|-1244476
30/11/2019|2120|-1451943
30/11/2019|2210|-14123860
30/11/2019|2220|-851763
30/11/2019|2310|-149999314
30/11/2019|2320|-49999672
30/11/2019|3110|-399999661
30/11/2019|3120|-512092629.32
30/11/2019|4110|-20797278.81
30/11/2019|4120|-3322131.05
31/12/2019|1110|124542319
31/12/2019|1120|75614396
31/12/2019|1130|24546145
31/12/2019|1210|51631075.7
31/12/2019|1220|17077537.75
31/12/2019|1230|70515424.22
31/12/2019|1310|54363775
31/12/2019|1320|3124301
31/12/2019|1330|2356633
31/12/2019|1410|500000392
31/12/2019|1420|124521667
31/12/2019|1430|14526528
31/12/2019|1440|23523592
31/12/2019|1510|70000605
31/12/2019|2110|-1244476
31/12/2019|2120|-1451943
31/12/2019|2210|-14123860
31/12/2019|2220|-851763
31/12/2019|2310|-149999314
31/12/2019|2320|-49999672
31/12/2019|3110|-399999661
31/12/2019|3120|-512092629.32
31/12/2019|4110|-22873293.14
31/12/2019|4120|-3707779.21
31/01/2020|1110|124542319
31/01/2020|1120|75614396
31/01/2020|1130|24546145
31/01/2020|1210|53241808.84
31/01/2020|1220|17584759.6
31/01/2020|1230|70939459.73
31/01/2020|1310|54363775
31/01/2020|1320|3124301
31/01/2020|1330|2356633
31/01/2020|1410|500000392
31/01/2020|1420|124521667
31/01/2020|1430|14526528
31/01/2020|1440|23523592
31/01/2020|1510|70000605
31/01/2020|2110|-1244476
31/01/2020|2120|-1451943
31/01/2020|2210|-14123860
31/01/2020|2220|-851763
31/01/2020|2310|-149999314
31/01/2020|2320|-49999672
31/01/2020|3110|-399999661
31/01/2020|3120|-538673701.67
31/01/2020|4110|-2117954.99
31/01/2020|4120|-424035.51
29/02/2020|1110|124542319
29/02/2020|1120|75614396
29/02/2020|1130|24546145
29/02/2020|1210|54878061.69
29/02/2020|1220|18094517.65
29/02/2020|1230|71384028.6
29/02/2020|1310|54363775
29/02/2020|1320|3124301
29/02/2020|1330|2356633
29/02/2020|1410|500000392
29/02/2020|1420|124521667
29/02/2020|1430|14526528
29/02/2020|1440|23523592
29/02/2020|1510|70000605
29/02/2020|2110|-1244476
29/02/2020|2120|-1451943
29/02/2020|2210|-14123860
29/02/2020|2220|-851763
29/02/2020|2310|-149999314
29/02/2020|2320|-49999672
29/02/2020|3110|-399999661
29/02/2020|3120|-538673701.67
29/02/2020|4110|-4263965.89
29/02/2020|4120|-868604.38
31/03/2020|1110|124542319
31/03/2020|1120|75614396
31/03/2020|1130|24546145
31/03/2020|1210|56535293.97
31/03/2020|1220|18606824.5
31/03/2020|1230|71839520.92
31/03/2020|1310|54363775
31/03/2020|1320|3124301
31/03/2020|1330|2356633
31/03/2020|1410|500000392
31/03/2020|1420|124521667
31/03/2020|1430|14526528
31/03/2020|1440|23523592
31/03/2020|1510|70000605
31/03/2020|2110|-1244476
31/03/2020|2120|-1451943
31/03/2020|2210|-14123860
31/03/2020|2220|-851763
31/03/2020|2310|-149999314
31/03/2020|2320|-49999672
31/03/2020|3110|-399999661
31/03/2020|3120|-538673701.67
31/03/2020|4110|-6433505.02
31/03/2020|4120|-1324096.7
30/04/2020|1110|124542319
30/04/2020|1120|75614396
30/04/2020|1130|24546145
30/04/2020|1210|58247481.28
30/04/2020|1220|19121692.9
30/04/2020|1230|72289006.35
30/04/2020|1310|54363775
30/04/2020|1320|3124301
30/04/2020|1330|2356633
30/04/2020|1410|500000392
30/04/2020|1420|124521667
30/04/2020|1430|14526528
30/04/2020|1440|23523592
30/04/2020|1510|70000605
30/04/2020|2110|-1244476
30/04/2020|2120|-1451943
30/04/2020|2210|-14123860
30/04/2020|2220|-851763
30/04/2020|2310|-149999314
30/04/2020|2320|-49999672
30/04/2020|3110|-399999661
30/04/2020|3120|-538673701.67
30/04/2020|4110|-8660560.73
30/04/2020|4120|-1773582.13
31/05/2020|1110|124542319
31/05/2020|1120|75614396
31/05/2020|1130|24546145
31/05/2020|1210|59996161.01
31/05/2020|1220|19639135.6
31/05/2020|1230|72801132.79
31/05/2020|1310|54363775
31/05/2020|1320|3124301
31/05/2020|1330|2356633
31/05/2020|1410|500000392
31/05/2020|1420|124521667
31/05/2020|1430|14526528
31/05/2020|1440|23523592
31/05/2020|1510|70000605
31/05/2020|2110|-1244476
31/05/2020|2120|-1451943
31/05/2020|2210|-14123860
31/05/2020|2220|-851763
31/05/2020|2310|-149999314
31/05/2020|2320|-49999672
31/05/2020|3110|-399999661
31/05/2020|3120|-538673701.67
31/05/2020|4110|-10926683.16
31/05/2020|4120|-2285708.57
30/06/2020|1110|124542319
30/06/2020|1120|75614396
30/06/2020|1130|24546145
30/06/2020|1210|61761965.59
30/06/2020|1220|20159165.5
30/06/2020|1230|73336884.96
30/06/2020|1310|54363775
30/06/2020|1320|3124301
30/06/2020|1330|2356633
30/06/2020|1410|500000392
30/06/2020|1420|124521667
30/06/2020|1430|14526528
30/06/2020|1440|23523592
30/06/2020|1510|70000605
30/06/2020|2110|-1244476
30/06/2020|2120|-1451943
30/06/2020|2210|-14123860
30/06/2020|2220|-851763
30/06/2020|2310|-149999314
30/06/2020|2320|-49999672
30/06/2020|3110|-399999661
30/06/2020|3120|-538673701.67
30/06/2020|4110|-13212517.64
30/06/2020|4120|-2821460.74
31/07/2020|1110|124542319
31/07/2020|1120|75614396
31/07/2020|1130|24546145
31/07/2020|1210|63580041.44
31/07/2020|1220|20681795.5
31/07/2020|1230|73899914.81
31/07/2020|1310|54363775
31/07/2020|1320|3124301
31/07/2020|1330|2356633
31/07/2020|1410|500000392
31/07/2020|1420|124521667
31/07/2020|1430|14526528
31/07/2020|1440|23523592
31/07/2020|1510|70000605
31/07/2020|2110|-1244476
31/07/2020|2120|-1451943
31/07/2020|2210|-14123860
31/07/2020|2220|-851763
31/07/2020|2310|-149999314
31/07/2020|2320|-49999672
31/07/2020|3110|-399999661
31/07/2020|3120|-538673701.67
31/07/2020|4110|-15553223.49
31/07/2020|4120|-3384490.59
31/08/2020|1110|124542319
31/08/2020|1120|75614396
31/08/2020|1130|24546145
31/08/2020|1210|65420471.63
31/08/2020|1220|21207038.65
31/08/2020|1230|74521835.19
31/08/2020|1310|54363775
31/08/2020|1320|3124301
31/08/2020|1330|2356633
31/08/2020|1410|500000392
31/08/2020|1420|124521667
31/08/2020|1430|14526528
31/08/2020|1440|23523592
31/08/2020|1510|70000605
31/08/2020|2110|-1244476
31/08/2020|2120|-1451943
31/08/2020|2210|-14123860
31/08/2020|2220|-851763
31/08/2020|2310|-149999314
31/08/2020|2320|-49999672
31/08/2020|3110|-399999661
31/08/2020|3120|-538673701.67
31/08/2020|4110|-17918896.83
31/08/2020|4120|-4006410.97
30/09/2020|1110|124542319
30/09/2020|1120|75614396
30/09/2020|1130|24546145
30/09/2020|1210|67289534.03
30/09/2020|1220|21734908
30/09/2020|1230|75162441.12
30/09/2020|1310|54363775
30/09/2020|1320|3124301
30/09/2020|1330|2356633
30/09/2020|1410|500000392
30/09/2020|1420|124521667
30/09/2020|1430|14526528
30/09/2020|1440|23523592
30/09/2020|1510|70000605
30/09/2020|2110|-1244476
30/09/2020|2120|-1451943
30/09/2020|2210|-14123860
30/09/2020|2220|-851763
30/09/2020|2310|-149999314
30/09/2020|2320|-49999672
30/09/2020|3110|-399999661
30/09/2020|3120|-538673701.67
30/09/2020|4110|-20315828.58
30/09/2020|4120|-4647016.9
31/10/2020|1110|124542319
31/10/2020|1120|75614396
31/10/2020|1130|24546145
31/10/2020|1210|69215148.2
31/10/2020|1220|22265416.75
31/10/2020|1230|75785154.32
31/10/2020|1310|54363775
31/10/2020|1320|3124301
31/10/2020|1330|2356633
31/10/2020|1410|500000392
31/10/2020|1420|124521667
31/10/2020|1430|14526528
31/10/2020|1440|23523592
31/10/2020|1510|70000605
31/10/2020|2110|-1244476
31/10/2020|2120|-1451943
31/10/2020|2210|-14123860
31/10/2020|2220|-851763
31/10/2020|2310|-149999314
31/10/2020|2320|-49999672
31/10/2020|3110|-399999661
31/10/2020|3120|-538673701.67
31/10/2020|4110|-22771951.5
31/10/2020|4120|-5269730.1
30/11/2020|1110|124542319
30/11/2020|1120|75614396
30/11/2020|1130|24546145
30/11/2020|1210|71179117.18
30/11/2020|1220|22798578.1
30/11/2020|1230|76494235.25
30/11/2020|1310|54363775
30/11/2020|1320|3124301
30/11/2020|1330|2356633
30/11/2020|1410|500000392
30/11/2020|1420|124521667
30/11/2020|1430|14526528
30/11/2020|1440|23523592
30/11/2020|1510|70000605
30/11/2020|2110|-1244476
30/11/2020|2120|-1451943
30/11/2020|2210|-14123860
30/11/2020|2220|-851763
30/11/2020|2310|-149999314
30/11/2020|2320|-49999672
30/11/2020|3110|-399999661
30/11/2020|3120|-538673701.67
30/11/2020|4110|-25269081.83
30/11/2020|4120|-5978811.03
31/12/2020|1110|124542319
31/12/2020|1120|75614396
31/12/2020|1130|24546145
31/12/2020|1210|73188226.05
31/12/2020|1220|23334405.25
31/12/2020|1230|77225821.14
31/12/2020|1310|54363775
31/12/2020|1320|3124301
31/12/2020|1330|2356633
31/12/2020|1410|500000392
31/12/2020|1420|124521667
31/12/2020|1430|14526528
31/12/2020|1440|23523592
31/12/2020|1510|70000605
31/12/2020|2110|-1244476
31/12/2020|2120|-1451943
31/12/2020|2210|-14123860
31/12/2020|2220|-851763
31/12/2020|2310|-149999314
31/12/2020|2320|-49999672
31/12/2020|3110|-399999661
31/12/2020|3120|-538673701.67
31/12/2020|4110|-27814017.85
31/12/2020|4120|-6710396.92
