EndOfMonth|Jnl ID|Account Number|Jnl Description|Jnl Amount
31/01/2018|002-0000000025|1220|Poodle Sales|30000
31/01/2018|002-0000000025|4110|Poodle Sales|-30000
31/01/2018|002-0000000026|1220|Poodle Sales|30000
31/01/2018|002-0000000026|4110|Poodle Sales|-30000
31/01/2018|002-0000000027|1220|Poodle Sales|30000
31/01/2018|002-0000000027|4110|Poodle Sales|-30000
31/01/2018|002-0000000028|1220|Poodle Sales|30000
31/01/2018|002-0000000028|4110|Poodle Sales|-30000
31/01/2018|002-0000000029|1220|Poodle Sales|30000
31/01/2018|002-0000000029|4110|Poodle Sales|-30000
31/01/2018|002-0000000030|1220|Poodle Sales|30000
31/01/2018|002-0000000030|4110|Poodle Sales|-30000
31/01/2018|002-0000000031|1220|Poodle Sales|30000
31/01/2018|002-0000000031|4110|Poodle Sales|-30000
31/01/2018|002-0000000032|1220|Poodle Sales|30000
31/01/2018|002-0000000032|4110|Poodle Sales|-30000
31/01/2018|002-0000000033|1220|Poodle Sales|30000
31/01/2018|002-0000000033|4110|Poodle Sales|-30000
31/01/2018|002-0000000034|1220|Poodle Sales|30000
31/01/2018|002-0000000034|4110|Poodle Sales|-30000
28/02/2018|001-0000000035|1210|Labrador Sales|50419.2930264255
28/02/2018|001-0000000035|4110|Labrador Sales|-50419.2930264255
28/02/2018|001-0000000036|1210|Labrador Sales|50528.0194778824
28/02/2018|001-0000000036|4110|Labrador Sales|-50528.0194778824
28/02/2018|001-0000000037|1210|Labrador Sales|52438.0371788461
28/02/2018|001-0000000037|4110|Labrador Sales|-52438.0371788461
28/02/2018|001-0000000038|1210|Labrador Sales|49975.0513353036
28/02/2018|001-0000000038|4110|Labrador Sales|-49975.0513353036
28/02/2018|001-0000000039|1210|Labrador Sales|52703.1376820305
28/02/2018|001-0000000039|4110|Labrador Sales|-52703.1376820305
28/02/2018|001-0000000040|1210|Labrador Sales|53216.315295485
28/02/2018|001-0000000040|4110|Labrador Sales|-53216.315295485
28/02/2018|001-0000000041|1210|Labrador Sales|51388.9277017857
28/02/2018|001-0000000041|4110|Labrador Sales|-51388.9277017857
28/02/2018|001-0000000042|1210|Labrador Sales|51053.1306122444
28/02/2018|001-0000000042|4110|Labrador Sales|-51053.1306122444
28/02/2018|001-0000000043|1210|Labrador Sales|52094.3661660628
28/02/2018|001-0000000043|4110|Labrador Sales|-52094.3661660628
28/02/2018|001-0000000044|1210|Labrador Sales|48802.7947839595
28/02/2018|001-0000000044|4110|Labrador Sales|-48802.7947839595
28/02/2018|001-0000000045|1210|Labrador Sales|50932.8286329204
28/02/2018|001-0000000045|4110|Labrador Sales|-50932.8286329204
28/02/2018|001-0000000046|1210|Labrador Sales|48928.7468914775
28/02/2018|001-0000000046|4110|Labrador Sales|-48928.7468914775
28/02/2018|001-0000000047|1210|Labrador Sales|50016.0301722894
28/02/2018|001-0000000047|4110|Labrador Sales|-50016.0301722894
28/02/2018|001-0000000048|1210|Labrador Sales|52708.771083997
28/02/2018|001-0000000048|4110|Labrador Sales|-52708.771083997
28/02/2018|001-0000000049|1210|Labrador Sales|53224.2277842826
28/02/2018|001-0000000049|4110|Labrador Sales|-53224.2277842826
28/02/2018|001-0000000050|1210|Labrador Sales|52335.8254873128
28/02/2018|001-0000000050|4110|Labrador Sales|-52335.8254873128
28/02/2018|001-0000000051|1210|Labrador Sales|49243.0656857756
28/02/2018|001-0000000051|4110|Labrador Sales|-49243.0656857756
28/02/2018|001-0000000052|1210|Labrador Sales|51280.5126246207
28/02/2018|001-0000000052|4110|Labrador Sales|-51280.5126246207
28/02/2018|001-0000000053|1210|Labrador Sales|50481.5497384088
28/02/2018|001-0000000053|4110|Labrador Sales|-50481.5497384088
28/02/2018|001-0000000054|1210|Labrador Sales|52533.0360689121
28/02/2018|001-0000000054|4110|Labrador Sales|-52533.0360689121
28/02/2018|002-0000000055|1220|Poodle Sales|30150
28/02/2018|002-0000000055|4110|Poodle Sales|-30150
28/02/2018|002-0000000056|1220|Poodle Sales|30150
28/02/2018|002-0000000056|4110|Poodle Sales|-30150
28/02/2018|002-0000000057|1220|Poodle Sales|30150
28/02/2018|002-0000000057|4110|Poodle Sales|-30150
28/02/2018|002-0000000058|1220|Poodle Sales|30150
28/02/2018|002-0000000058|4110|Poodle Sales|-30150
28/02/2018|002-0000000059|1220|Poodle Sales|30150
28/02/2018|002-0000000059|4110|Poodle Sales|-30150
28/02/2018|002-0000000060|1220|Poodle Sales|30150
28/02/2018|002-0000000060|4110|Poodle Sales|-30150
28/02/2018|002-0000000061|1220|Poodle Sales|30150
28/02/2018|002-0000000061|4110|Poodle Sales|-30150
28/02/2018|002-0000000062|1220|Poodle Sales|30150
28/02/2018|002-0000000062|4110|Poodle Sales|-30150
28/02/2018|002-0000000063|1220|Poodle Sales|30150
28/02/2018|002-0000000063|4110|Poodle Sales|-30150
28/02/2018|002-0000000064|1220|Poodle Sales|30150
28/02/2018|002-0000000064|4110|Poodle Sales|-30150
28/02/2018|002-0000000065|1220|Poodle Sales|30150
28/02/2018|002-0000000065|4110|Poodle Sales|-30150
28/02/2018|002-0000000066|1220|Poodle Sales|30150
28/02/2018|002-0000000066|4110|Poodle Sales|-30150
28/02/2018|002-0000000067|1220|Poodle Sales|30150
28/02/2018|002-0000000067|4110|Poodle Sales|-30150
28/02/2018|002-0000000068|1220|Poodle Sales|30150
28/02/2018|002-0000000068|4110|Poodle Sales|-30150
28/02/2018|002-0000000069|1220|Poodle Sales|30150
28/02/2018|002-0000000069|4110|Poodle Sales|-30150
31/03/2018|001-0000000070|1210|Labrador Sales|52847.3884421747
31/03/2018|001-0000000070|4110|Labrador Sales|-52847.3884421747
31/03/2018|001-0000000071|1210|Labrador Sales|50592.9442625129
31/03/2018|001-0000000071|4110|Labrador Sales|-50592.9442625129
31/03/2018|001-0000000072|1210|Labrador Sales|49931.0120993825
31/03/2018|001-0000000072|4110|Labrador Sales|-49931.0120993825
31/03/2018|001-0000000073|1210|Labrador Sales|53032.5126107556
31/03/2018|001-0000000073|4110|Labrador Sales|-53032.5126107556
31/03/2018|001-0000000074|1210|Labrador Sales|52999.7285286639
31/03/2018|001-0000000074|4110|Labrador Sales|-52999.7285286639
31/03/2018|001-0000000075|1210|Labrador Sales|50876.1936504288
31/03/2018|001-0000000075|4110|Labrador Sales|-50876.1936504288
31/03/2018|001-0000000076|1210|Labrador Sales|50536.5346360726
31/03/2018|001-0000000076|4110|Labrador Sales|-50536.5346360726
31/03/2018|001-0000000077|1210|Labrador Sales|53777.4060562274
31/03/2018|001-0000000077|4110|Labrador Sales|-53777.4060562274
31/03/2018|001-0000000078|1210|Labrador Sales|52662.7116490005
31/03/2018|001-0000000078|4110|Labrador Sales|-52662.7116490005
31/03/2018|001-0000000079|1210|Labrador Sales|49571.9612451433
31/03/2018|001-0000000079|4110|Labrador Sales|-49571.9612451433
31/03/2018|001-0000000080|1210|Labrador Sales|53612.3043140477
31/03/2018|001-0000000080|4110|Labrador Sales|-53612.3043140477
31/03/2018|001-0000000081|1210|Labrador Sales|50078.048375227
31/03/2018|001-0000000081|4110|Labrador Sales|-50078.048375227
31/03/2018|001-0000000082|1210|Labrador Sales|54266.746741631
31/03/2018|001-0000000082|4110|Labrador Sales|-54266.746741631
31/03/2018|001-0000000083|1210|Labrador Sales|52002.002913537
31/03/2018|001-0000000083|4110|Labrador Sales|-52002.002913537
31/03/2018|001-0000000084|1210|Labrador Sales|50662.5801770145
31/03/2018|001-0000000084|4110|Labrador Sales|-50662.5801770145
31/03/2018|001-0000000085|1210|Labrador Sales|52439.2483152413
31/03/2018|001-0000000085|4110|Labrador Sales|-52439.2483152413
31/03/2018|001-0000000086|1210|Labrador Sales|51275.826544668
31/03/2018|001-0000000086|4110|Labrador Sales|-51275.826544668
31/03/2018|001-0000000087|1210|Labrador Sales|51033.8828725279
31/03/2018|001-0000000087|4110|Labrador Sales|-51033.8828725279
31/03/2018|001-0000000088|1210|Labrador Sales|53133.4322470745
31/03/2018|001-0000000088|4110|Labrador Sales|-53133.4322470745
31/03/2018|001-0000000089|1210|Labrador Sales|49673.6242220377
31/03/2018|001-0000000089|4110|Labrador Sales|-49673.6242220377
31/03/2018|002-0000000090|1220|Poodle Sales|30300.75
31/03/2018|002-0000000090|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000091|1220|Poodle Sales|30300.75
31/03/2018|002-0000000091|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000092|1220|Poodle Sales|30300.75
31/03/2018|002-0000000092|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000093|1220|Poodle Sales|30300.75
31/03/2018|002-0000000093|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000094|1220|Poodle Sales|30300.75
31/03/2018|002-0000000094|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000095|1220|Poodle Sales|30300.75
31/03/2018|002-0000000095|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000096|1220|Poodle Sales|30300.75
31/03/2018|002-0000000096|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000097|1220|Poodle Sales|30300.75
31/03/2018|002-0000000097|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000098|1220|Poodle Sales|30300.75
31/03/2018|002-0000000098|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000099|1220|Poodle Sales|30300.75
31/03/2018|002-0000000099|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000100|1220|Poodle Sales|30300.75
31/03/2018|002-0000000100|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000101|1220|Poodle Sales|30300.75
31/03/2018|002-0000000101|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000102|1220|Poodle Sales|30300.75
31/03/2018|002-0000000102|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000103|1220|Poodle Sales|30300.75
31/03/2018|002-0000000103|4110|Poodle Sales|-30300.75
31/03/2018|002-0000000104|1220|Poodle Sales|30300.75
31/03/2018|002-0000000104|4110|Poodle Sales|-30300.75
