EndOfMonth|Account Code|Amount
31/08/2018|4210|1631405.81
31/08/2018|4220|240399.56
30/09/2018|1110|133404866.68
30/09/2018|1120|76550388.48
30/09/2018|1130|20910425.59
30/09/2018|1210|21219976.86
30/09/2018|1220|5633158
30/09/2018|1230|64745515
30/09/2018|1310|54363775
30/09/2018|1320|3124301
30/09/2018|1330|2356633
30/09/2018|1410|500000392
30/09/2018|1420|124521667
30/09/2018|1430|14526528
30/09/2018|1440|23523592
30/09/2018|1510|70000605
30/09/2018|2110|-1244476
30/09/2018|2120|-1451943
30/09/2018|2210|-14114879.84
30/09/2018|2220|-850094.35
30/09/2018|2310|-149999314
30/09/2018|2320|-49999672
30/09/2018|3110|-399999661
30/09/2018|3120|-491253746
30/09/2018|4110|-9138680.46
30/09/2018|4120|-1208021.73
30/09/2018|4130|-1368818.62
30/09/2018|4310|3635719.41
30/09/2018|4210|1841403.38
30/09/2018|4220|270360.6
31/10/2018|1110|134425346.19
31/10/2018|1120|76659884.9
31/10/2018|1130|20501458.93
31/10/2018|1210|21216889.43
31/10/2018|1220|5633158
31/10/2018|1230|64745515
31/10/2018|1310|54363775
31/10/2018|1320|3124301
31/10/2018|1330|2356633
31/10/2018|1410|500000392
31/10/2018|1420|124521667
31/10/2018|1430|14526528
31/10/2018|1440|23523592
31/10/2018|1510|70000605
31/10/2018|2110|-1244476
31/10/2018|2120|-1451943
31/10/2018|2210|-14115106.61
31/10/2018|2220|-850754.77
31/10/2018|2310|-149999314
31/10/2018|2320|-49999672
31/10/2018|3110|-399999661
31/10/2018|3120|-491253746
31/10/2018|4110|-10219659.3
31/10/2018|4120|-1347654.66
31/10/2018|4130|-1518079.35
31/10/2018|4310|4044686.07
31/10/2018|4210|2054477.64
31/10/2018|4220|301157.53
30/11/2018|1110|135472427.98
30/11/2018|1120|76769850.76
30/11/2018|1130|20091483.64
30/11/2018|1210|21198200.4
30/11/2018|1220|5633158
30/11/2018|1230|64745515
30/11/2018|1310|54363775
30/11/2018|1320|3124301
30/11/2018|1330|2356633
30/11/2018|1410|500000392
30/11/2018|1420|124521667
30/11/2018|1430|14526528
30/11/2018|1440|23523592
30/11/2018|1510|70000605
30/11/2018|2110|-1244476
30/11/2018|2120|-1451943
30/11/2018|2210|-14109784.29
30/11/2018|2220|-850375.44
30/11/2018|2310|-149999314
30/11/2018|2320|-49999672
30/11/2018|3110|-399999661
30/11/2018|3120|-491253746
30/11/2018|4110|-11311429.84
30/11/2018|4120|-1488401.04
30/11/2018|4130|-1670782.78
30/11/2018|4310|4454661.36
30/11/2018|4210|2265236.53
30/11/2018|4220|331558.72
31/12/2018|1110|136517193.97
31/12/2018|1120|76880867.7
31/12/2018|1130|19680497.24
31/12/2018|1210|21192299.88
31/12/2018|1220|5633158
31/12/2018|1230|64745515
31/12/2018|1310|54363775
31/12/2018|1320|3124301
31/12/2018|1330|2356633
31/12/2018|1410|500000392
31/12/2018|1420|124521667
31/12/2018|1430|14526528
31/12/2018|1440|23523592
31/12/2018|1510|70000605
31/12/2018|2110|-1244476
31/12/2018|2120|-1451943
31/12/2018|2210|-14106484.77
31/12/2018|2220|-850343.86
31/12/2018|2310|-149999314
31/12/2018|2320|-49999672
31/12/2018|3110|-399999661
31/12/2018|3120|-491253746
31/12/2018|4110|-12410894.95
31/12/2018|4120|-1630269.75
31/12/2018|4130|-1827025.44
31/12/2018|4310|4865647.76
31/12/2018|4210|2478779.31
31/12/2018|4220|362378.91
31/01/2019|1110|137567505.81
31/01/2019|1120|76993001.9
31/01/2019|1130|19268497.24
31/01/2019|1210|21180991.36
31/01/2019|1220|5633158
31/01/2019|1230|64745515
31/01/2019|1310|54363775
31/01/2019|1320|3124301
31/01/2019|1330|2356633
31/01/2019|1410|500000392
31/01/2019|1420|124521667
31/01/2019|1430|14526528
31/01/2019|1440|23523592
31/01/2019|1510|70000605
31/01/2019|2110|-1244476
31/01/2019|2120|-1451943
31/01/2019|2210|-14110231.59
31/01/2019|2220|-850313.66
31/01/2019|2310|-149999314
31/01/2019|2320|-49999672
31/01/2019|3110|-399999661
31/01/2019|3120|-499415130.16
31/01/2019|4110|-1101747.46
31/01/2019|4120|-143000.01
31/01/2019|4130|-150222.79
31/01/2019|4310|412000
31/01/2019|4210|216713.75
31/01/2019|4220|30835.61
28/02/2019|1110|138636807.05
28/02/2019|1120|77106521
28/02/2019|1130|18855481.14
28/02/2019|1210|21162148.72
28/02/2019|1220|5633158
28/02/2019|1230|64745515
28/02/2019|1310|54363775
28/02/2019|1320|3124301
28/02/2019|1330|2356633
28/02/2019|1410|500000392
28/02/2019|1420|124521667
28/02/2019|1430|14526528
28/02/2019|1440|23523592
28/02/2019|1510|70000605
28/02/2019|2110|-1244476
28/02/2019|2120|-1451943
28/02/2019|2210|-14114204.68
28/02/2019|2220|-850790.38
28/02/2019|2310|-149999314
28/02/2019|2320|-49999672
28/02/2019|3110|-399999661
28/02/2019|3120|-499415130.16
28/02/2019|4110|-2214514.96
28/02/2019|4120|-287140.32
28/02/2019|4130|-302541.16
28/02/2019|4310|825016.1
28/02/2019|4210|435314.11
28/02/2019|4220|61933.54
31/03/2019|1110|139725403.32
31/03/2019|1120|77220900.08
31/03/2019|1130|18441446.43
31/03/2019|1210|21157982.78
31/03/2019|1220|5633158
31/03/2019|1230|64745515
31/03/2019|1310|54363775
31/03/2019|1320|3124301
31/03/2019|1330|2356633
31/03/2019|1410|500000392
31/03/2019|1420|124521667
31/03/2019|1430|14526528
31/03/2019|1440|23523592
31/03/2019|1510|70000605
31/03/2019|2110|-1244476
31/03/2019|2120|-1451943
31/03/2019|2210|-14112298.83
31/03/2019|2220|-850826.66
31/03/2019|2310|-149999314
31/03/2019|2320|-49999672
31/03/2019|3110|-399999661
31/03/2019|3120|-499415130.16
31/03/2019|4110|-3361396.22
31/03/2019|4120|-432430.02
31/03/2019|4130|-460706.5
31/03/2019|4310|1239050.81
31/03/2019|4210|654024.53
31/03/2019|4220|92880.44
30/04/2019|1110|140819572.3
30/04/2019|1120|77336530.54
30/04/2019|1130|18026390.6
30/04/2019|1210|21159521.53
30/04/2019|1220|5633158
30/04/2019|1230|64745515
30/04/2019|1310|54363775
30/04/2019|1320|3124301
30/04/2019|1330|2356633
30/04/2019|1410|500000392
30/04/2019|1420|124521667
30/04/2019|1430|14526528
30/04/2019|1440|23523592
30/04/2019|1510|70000605
30/04/2019|2110|-1244476
30/04/2019|2120|-1451943
30/04/2019|2210|-14112764.75
30/04/2019|2220|-850612.59
30/04/2019|2310|-149999314
30/04/2019|2320|-49999672
30/04/2019|3110|-399999661
30/04/2019|3120|-499415130.16
30/04/2019|4110|-4520303.09
30/04/2019|4120|-578878.29
30/04/2019|4130|-615971.62
30/04/2019|4310|1654106.64
30/04/2019|4210|872954.71
30/04/2019|4220|123484.18
31/05/2019|1110|141908630.91
31/05/2019|1120|77453056.67
31/05/2019|1130|17610311.13
31/05/2019|1210|21165191.12
31/05/2019|1220|5633158
31/05/2019|1230|64745515
31/05/2019|1310|54363775
31/05/2019|1320|3124301
31/05/2019|1330|2356633
31/05/2019|1410|500000392
31/05/2019|1420|124521667
31/05/2019|1430|14526528
31/05/2019|1440|23523592
31/05/2019|1510|70000605
31/05/2019|2110|-1244476
31/05/2019|2120|-1451943
31/05/2019|2210|-14111904.11
31/05/2019|2220|-851312.28
31/05/2019|2310|-149999314
31/05/2019|2320|-49999672
31/05/2019|3110|-399999661
31/05/2019|3120|-499415130.16
31/05/2019|4110|-5680661.23
31/05/2019|4120|-726494.34
31/05/2019|4130|-771988.27
31/05/2019|4310|2070186.11
31/05/2019|4210|1093740.66
31/05/2019|4220|155273.79
30/06/2019|1110|143018399.53
30/06/2019|1120|77570017.25
30/06/2019|1130|17193205.49
30/06/2019|1210|21163419.87
30/06/2019|1220|5633158
30/06/2019|1230|64745515
30/06/2019|1310|54363775
30/06/2019|1320|3124301
30/06/2019|1330|2356633
30/06/2019|1410|500000392
30/06/2019|1420|124521667
30/06/2019|1430|14526528
30/06/2019|1440|23523592
30/06/2019|1510|70000605
30/06/2019|2110|-1244476
30/06/2019|2120|-1451943
30/06/2019|2210|-14108467.73
30/06/2019|2220|-850505.8
30/06/2019|2310|-149999314
30/06/2019|2320|-49999672
30/06/2019|3110|-399999661
30/06/2019|3120|-499415130.16
30/06/2019|4110|-6860609.23
30/06/2019|4120|-875287.5
30/06/2019|4130|-923963.97
30/06/2019|4310|2487291.75
30/06/2019|4210|1314230.61
30/06/2019|4220|186299.89
31/07/2019|1110|144131254.99
31/07/2019|1120|77688662.86
31/07/2019|1130|16775071.16
31/07/2019|1210|21168472.45
31/07/2019|1220|5633158
31/07/2019|1230|64745515
31/07/2019|1310|54363775
31/07/2019|1320|3124301
31/07/2019|1330|2356633
31/07/2019|1410|500000392
31/07/2019|1420|124521667
31/07/2019|1430|14526528
31/07/2019|1440|23523592
31/07/2019|1510|70000605
31/07/2019|2110|-1244476
31/07/2019|2120|-1451943
31/07/2019|2210|-14106275.84
31/07/2019|2220|-849979.32
31/07/2019|2310|-149999314
31/07/2019|2320|-49999672
31/07/2019|3110|-399999661
31/07/2019|3120|-499415130.16
31/07/2019|4110|-8048682.96
31/07/2019|4120|-1025267.16
31/07/2019|4130|-1080311.22
31/07/2019|4310|2905426.08
31/07/2019|4210|1538551.66
31/07/2019|4220|217107.46
31/08/2019|1110|145261543.73
31/08/2019|1120|77808111.53
31/08/2019|1130|16355905.6
31/08/2019|1210|21170837.39
31/08/2019|1220|5633158
31/08/2019|1230|64745515
31/08/2019|1310|54363775
31/08/2019|1320|3124301
31/08/2019|1330|2356633
31/08/2019|1410|500000392
31/08/2019|1420|124521667
31/08/2019|1430|14526528
31/08/2019|1440|23523592
31/08/2019|1510|70000605
31/08/2019|2110|-1244476
31/08/2019|2120|-1451943
31/08/2019|2210|-14108729.42
31/08/2019|2220|-850414.73
31/08/2019|2310|-149999314
31/08/2019|2320|-49999672
31/08/2019|3110|-399999661
31/08/2019|3120|-499415130.16
31/08/2019|4110|-9251509.21
31/08/2019|4120|-1176442.77
31/08/2019|4130|-1233348.65
31/08/2019|4310|3324591.64
31/08/2019|4210|1764215.24
31/08/2019|4220|249269.81
30/09/2019|1110|146416537.82
30/09/2019|1120|77928622.82
30/09/2019|1130|15935706.26
30/09/2019|1210|21155018.28
30/09/2019|1220|5633158
30/09/2019|1230|64745515
30/09/2019|1310|54363775
30/09/2019|1320|3124301
30/09/2019|1330|2356633
30/09/2019|1410|500000392
30/09/2019|1420|124521667
30/09/2019|1430|14526528
30/09/2019|1440|23523592
30/09/2019|1510|70000605
30/09/2019|2110|-1244476
30/09/2019|2120|-1451943
30/09/2019|2210|-14110838.94
30/09/2019|2220|-850587.26
30/09/2019|2310|-149999314
30/09/2019|2320|-49999672
30/09/2019|3110|-399999661
30/09/2019|3120|-499415130.16
30/09/2019|4110|-10459746.28
30/09/2019|4120|-1328823.9
30/09/2019|4130|-1389548.09
30/09/2019|4310|3744790.98
30/09/2019|4210|1991586.29
30/09/2019|4220|281312.18
31/10/2019|1110|147562526.68
31/10/2019|1120|78050854.24
31/10/2019|1130|15514470.6
31/10/2019|1210|21152154.39
31/10/2019|1220|5633158
31/10/2019|1230|64745515
31/10/2019|1310|54363775
31/10/2019|1320|3124301
31/10/2019|1330|2356633
31/10/2019|1410|500000392
31/10/2019|1420|124521667
31/10/2019|1430|14526528
31/10/2019|1440|23523592
31/10/2019|1510|70000605
31/10/2019|2110|-1244476
31/10/2019|2120|-1451943
31/10/2019|2210|-14108017.23
31/10/2019|2220|-850216.49
31/10/2019|2310|-149999314
31/10/2019|2320|-49999672
31/10/2019|3110|-399999661
31/10/2019|3120|-499415130.16
31/10/2019|4110|-11677152.66
31/10/2019|4120|-1482420.12
31/10/2019|4130|-1546092.37
31/10/2019|4310|4166026.64
31/10/2019|4210|2219590.27
31/10/2019|4220|312306.21
30/11/2019|1110|148719834.32
30/11/2019|1120|78174622.67
30/11/2019|1130|15092196.05
30/11/2019|1210|21153579.05
30/11/2019|1220|5633158
30/11/2019|1230|64745515
30/11/2019|1310|54363775
30/11/2019|1320|3124301
30/11/2019|1330|2356633
30/11/2019|1410|500000392
30/11/2019|1420|124521667
30/11/2019|1430|14526528
30/11/2019|1440|23523592
30/11/2019|1510|70000605
30/11/2019|2110|-1244476
30/11/2019|2120|-1451943
30/11/2019|2210|-14107095.11
30/11/2019|2220|-850893.43
30/11/2019|2310|-149999314
30/11/2019|2320|-49999672
30/11/2019|3110|-399999661
30/11/2019|3120|-499415130.16
30/11/2019|4110|-12908972.36
30/11/2019|4120|-1637241.15
30/11/2019|4130|-1702970.18
30/11/2019|4310|4588301.19
30/11/2019|4210|2448633.36
30/11/2019|4220|344035.75
31/12/2019|1110|149887780.63
31/12/2019|1120|78298518.86
31/12/2019|1130|14668880.06
31/12/2019|1210|21153948.83
31/12/2019|1220|5633158
31/12/2019|1230|64745515
31/12/2019|1310|54363775
31/12/2019|1320|3124301
31/12/2019|1330|2356633
31/12/2019|1410|500000392
31/12/2019|1420|124521667
31/12/2019|1430|14526528
31/12/2019|1440|23523592
31/12/2019|1510|70000605
31/12/2019|2110|-1244476
31/12/2019|2120|-1451943
31/12/2019|2210|-14109664.32
31/12/2019|2220|-851106.35
31/12/2019|2310|-149999314
31/12/2019|2320|-49999672
31/12/2019|3110|-399999661
31/12/2019|3120|-499415130.16
31/12/2019|4110|-14144852.61
31/12/2019|4120|-1793296.74
31/12/2019|4130|-1865169.99
31/12/2019|4310|5011617.18
31/12/2019|4210|2680966.54
31/12/2019|4220|376408.07
31/01/2020|1110|151067824.78
31/01/2020|1120|78423811.59
31/01/2020|1130|14244520.06
31/01/2020|1210|21152595.06
31/01/2020|1220|5633158
31/01/2020|1230|64745515
31/01/2020|1310|54363775
31/01/2020|1320|3124301
31/01/2020|1330|2356633
31/01/2020|1410|500000392
31/01/2020|1420|124521667
31/01/2020|1430|14526528
31/01/2020|1440|23523592
31/01/2020|1510|70000605
31/01/2020|2110|-1244476
31/01/2020|2120|-1451943
31/01/2020|2210|-14108862.27
31/01/2020|2220|-851226.37
31/01/2020|2310|-149999314
31/01/2020|2320|-49999672
31/01/2020|3110|-399999661
31/01/2020|3120|-509149457.71
31/01/2020|4110|-1256133.45
31/01/2020|4120|-157299.99
31/01/2020|4130|-156663.38
31/01/2020|4310|424360
31/01/2020|4210|233304.4
31/01/2020|4220|32127.28
29/02/2020|1110|152247289.34
29/02/2020|1120|78549591.44
29/02/2020|1130|13819113.47
29/02/2020|1210|21165298.05
29/02/2020|1220|5633158
29/02/2020|1230|64745515
29/02/2020|1310|54363775
29/02/2020|1320|3124301
29/02/2020|1330|2356633
29/02/2020|1410|500000392
29/02/2020|1420|124521667
29/02/2020|1430|14526528
29/02/2020|1440|23523592
29/02/2020|1510|70000605
29/02/2020|2110|-1244476
29/02/2020|2120|-1451943
29/02/2020|2210|-14109502.48
29/02/2020|2220|-850117.29
29/02/2020|2310|-149999314
29/02/2020|2320|-49999672
29/02/2020|3110|-399999661
29/02/2020|3120|-509149457.71
29/02/2020|4110|-2523388.78
29/02/2020|4120|-315854.31
29/02/2020|4130|-316479.12
29/02/2020|4310|849766.59
29/02/2020|4210|468848.13
29/02/2020|4220|63792.67
31/03/2020|1110|153438883.69
31/03/2020|1120|78676815.28
31/03/2020|1130|13392657.72
31/03/2020|1210|21181257.79
31/03/2020|1220|5633158
31/03/2020|1230|64745515
31/03/2020|1310|54363775
31/03/2020|1320|3124301
31/03/2020|1330|2356633
31/03/2020|1410|500000392
31/03/2020|1420|124521667
31/03/2020|1430|14526528
31/03/2020|1440|23523592
31/03/2020|1510|70000605
31/03/2020|2110|-1244476
31/03/2020|2120|-1451943
31/03/2020|2210|-14107444.95
31/03/2020|2220|-848842.14
31/03/2020|2310|-149999314
31/03/2020|2320|-49999672
31/03/2020|3110|-399999661
31/03/2020|3120|-509149457.71
31/03/2020|4110|-3812056.28
31/03/2020|4120|-475672.98
31/03/2020|4130|-471966.85
31/03/2020|4310|1276222.34
31/03/2020|4210|703391.74
31/03/2020|4220|95112.35
30/04/2020|1110|154637664.92
30/04/2020|1120|78806062.22
30/04/2020|1130|12965150.21
30/04/2020|1210|21186485.67
30/04/2020|1220|5633158
30/04/2020|1230|64745515
30/04/2020|1310|54363775
30/04/2020|1320|3124301
30/04/2020|1330|2356633
30/04/2020|1410|500000392
30/04/2020|1420|124521667
30/04/2020|1430|14526528
30/04/2020|1440|23523592
30/04/2020|1510|70000605
30/04/2020|2110|-1244476
30/04/2020|2120|-1451943
30/04/2020|2210|-14104904.88
30/04/2020|2220|-849236.39
30/04/2020|2310|-149999314
30/04/2020|2320|-49999672
30/04/2020|3110|-399999661
30/04/2020|3120|-509149457.71
30/04/2020|4110|-5095685.6
30/04/2020|4120|-636766.05
30/04/2020|4130|-629481.89
30/04/2020|4310|1703729.85
30/04/2020|4210|937986.92
30/04/2020|4220|127352.73
31/05/2020|1110|155847009.57
31/05/2020|1120|78937024.03
31/05/2020|1130|12536588.35
31/05/2020|1210|21193936.67
31/05/2020|1220|5633158
31/05/2020|1230|64745515
31/05/2020|1310|54363775
31/05/2020|1320|3124301
31/05/2020|1330|2356633
31/05/2020|1410|500000392
31/05/2020|1420|124521667
31/05/2020|1430|14526528
31/05/2020|1440|23523592
31/05/2020|1510|70000605
31/05/2020|2110|-1244476
31/05/2020|2120|-1451943
31/05/2020|2210|-14101497.88
31/05/2020|2220|-849364.39
31/05/2020|2310|-149999314
31/05/2020|2320|-49999672
31/05/2020|3110|-399999661
31/05/2020|3120|-509149457.71
31/05/2020|4110|-6393581.32
31/05/2020|4120|-799143.72
31/05/2020|4130|-788764.28
31/05/2020|4310|2132291.71
31/05/2020|4210|1174962.38
31/05/2020|4220|158896.59
30/06/2020|1110|157076449.17
30/06/2020|1120|79068864.15
30/06/2020|1130|12106969.54
30/06/2020|1210|21188901.34
30/06/2020|1220|5633158
30/06/2020|1230|64745515
30/06/2020|1310|54363775
30/06/2020|1320|3124301
30/06/2020|1330|2356633
30/06/2020|1410|500000392
30/06/2020|1420|124521667
30/06/2020|1430|14526528
30/06/2020|1440|23523592
30/06/2020|1510|70000605
30/06/2020|2110|-1244476
30/06/2020|2120|-1451943
30/06/2020|2210|-14098044.86
30/06/2020|2220|-849758.62
30/06/2020|2310|-149999314
30/06/2020|2320|-49999672
30/06/2020|3110|-399999661
30/06/2020|3120|-509149457.71
30/06/2020|4110|-7699803.96
30/06/2020|4120|-962816.19
30/06/2020|4130|-949891.13
30/06/2020|4310|2561910.52
30/06/2020|4210|1414454.58
30/06/2020|4220|191123.17
31/07/2020|1110|158332540.27
31/07/2020|1120|79201924.75
31/07/2020|1130|11676291.18
31/07/2020|1210|21178227.61
31/07/2020|1220|5633158
31/07/2020|1230|64745515
31/07/2020|1310|54363775
31/07/2020|1320|3124301
31/07/2020|1330|2356633
31/07/2020|1410|500000392
31/07/2020|1420|124521667
31/07/2020|1430|14526528
31/07/2020|1440|23523592
31/07/2020|1510|70000605
31/07/2020|2110|-1244476
31/07/2020|2120|-1451943
31/07/2020|2210|-14099847.71
31/07/2020|2220|-850518.06
31/07/2020|2310|-149999314
31/07/2020|2320|-49999672
31/07/2020|3110|-399999661
31/07/2020|3120|-509149457.71
31/07/2020|4110|-9029821.12
31/07/2020|4120|-1127793.81
31/07/2020|4130|-1108778.04
31/07/2020|4310|2992588.88
31/07/2020|4210|1659744.13
31/07/2020|4220|223799.63
31/08/2020|1110|159593239.9
31/08/2020|1120|79336210.03
31/08/2020|1130|11244550.65
31/08/2020|1210|21180282.1
31/08/2020|1220|5633158
31/08/2020|1230|64745515
31/08/2020|1310|54363775
31/08/2020|1320|3124301
31/08/2020|1330|2356633
31/08/2020|1410|500000392
31/08/2020|1420|124521667
31/08/2020|1430|14526528
31/08/2020|1440|23523592
31/08/2020|1510|70000605
31/08/2020|2110|-1244476
31/08/2020|2120|-1451943
31/08/2020|2210|-14099342.16
31/08/2020|2220|-851096.39
31/08/2020|2310|-149999314
31/08/2020|2320|-49999672
31/08/2020|3110|-399999661
31/08/2020|3120|-509149457.71
31/08/2020|4110|-10372570.03
31/08/2020|4120|-1294086.99
31/08/2020|4130|-1272477.23
31/08/2020|4310|3424329.41
31/08/2020|4210|1902932.56
31/08/2020|4220|256385.86
30/09/2020|1110|160859888.73
30/09/2020|1120|79471471.59
30/09/2020|1130|10811745.33
30/09/2020|1210|21185137.79
30/09/2020|1220|5633158
30/09/2020|1230|64745515
30/09/2020|1310|54363775
30/09/2020|1320|3124301
30/09/2020|1330|2356633
30/09/2020|1410|500000392
30/09/2020|1420|124521667
30/09/2020|1430|14526528
30/09/2020|1440|23523592
30/09/2020|1510|70000605
30/09/2020|2110|-1244476
30/09/2020|2120|-1451943
30/09/2020|2210|-14097847.43
30/09/2020|2220|-851229.39
30/09/2020|2310|-149999314
30/09/2020|2320|-49999672
30/09/2020|3110|-399999661
30/09/2020|3120|-509149457.71
30/09/2020|4110|-11732928.93
30/09/2020|4120|-1461706.23
30/09/2020|4130|-1430121.22
